unitid,academicyear,instname,cpi_scalar_2012,hepi_scalar_2012,fte_count,tuition03,net_student_tuition,federal10,state09,private03,auxiliary03,other05,grant01,grant02,grant03,grant07,institutional_grant_aid,instruction01,research01,pubserv01,acadsupp01,studserv01,instsupp01,auxiliary01,opermain01,grants01,eandg01,eandg01_sum,eandg01_w_auxother_sum
226152,2003,Texas A & M International University,0.8002109287456329,0.7622783083219651,2712.6018510000004,10328893.0,-197507.0,7076323.0,37026596.0,3325447.0,257474.0,1809073.0,4385145.0,176728.0,3442103.0,10526400.0,2522424.0,15367024.0,161606.0,670106.0,2999025.0,2393759.0,8387596.0,1871611.0,2778227.0,7872243.0,40629584.0,40629586.0,55921389.0
226152,2004,Texas A & M International University,0.8177883242150591,0.790245566166439,2943.520102,11765335.0,1058444.0,9308337.0,37838068.0,3919347.0,675871.0,962572.0,5783504.0,349308.0,2687414.0,10706891.0,1886665.0,16754634.0,83440.0,896685.0,3287435.0,2029077.0,9648776.0,2775612.0,3624199.0,3091597.0,39415844.0,39415843.0,56295149.0
226152,2005,Texas A & M International University,0.842396677872256,0.821282401091405,3117.672417,13546916.0,3414247.0,8265943.0,38286624.0,795465.0,1029343.0,187072.0,4396126.0,246514.0,3008778.0,10132669.0,2481251.0,19543064.0,103392.0,1062241.0,3880804.0,2160104.0,8765835.0,3360601.0,3904134.0,2681573.0,42101144.0,42101147.0,45770337.625
226152,2006,Texas A & M International University,0.8744754246039592,0.863233287858117,3132.451814,15498417.0,4516573.0,10580957.0,41997720.0,3057950.0,1033856.0,1467846.0,5576291.0,253875.0,3094992.0,10981844.0,2056686.0,21576996.0,95270.0,1174303.0,5011281.0,2501965.0,8983142.0,3869957.0,4618487.0,3121649.0,47083092.0,47083093.0,51236548.0
226152,2007,Texas A & M International University,0.897053589084437,0.887789904502046,3590.14770507813,19519756.0,4605440.0,10879603.0,41769144.0,1493000.0,2594922.0,2801278.0,6699061.0,448973.0,3030856.0,14914317.0,4735427.0,21827904.0,178182.0,1599370.0,5499804.0,3783382.0,10360277.0,5376720.0,5535063.0,5820729.0,54604712.0,54604711.0,60234271.0
226152,2008,Texas A & M International University,0.930292443917123,0.9317871759890859,3782.592688,22819064.0,3495157.0,13967212.0,49264672.0,2238459.0,2798358.0,954337.0,7781752.0,920078.0,3377685.0,19323907.0,7244392.0,23503638.0,462254.0,1468152.0,3870422.0,3707737.0,13188310.0,6323370.0,5140816.0,10951060.0,62292389.0,62292389.0,68615759.0
226152,2009,Texas A & M International University,0.943282139169029,0.9525920873124151,4222.077279,26387422.0,9877721.0,16115632.0,50577115.0,5041747.0,2581827.0,-3088015.0,9276935.0,534203.0,2537846.0,16509701.0,4160717.0,25683191.0,1689650.0,1901400.0,9027169.0,4905704.0,6765853.0,6066811.0,6536141.0,7159080.0,63668188.0,63668188.0,69734999.0
226152,2010,Texas A & M International University,0.9524092017665279,0.9611186903137792,4649.556908,29144738.0,3653535.0,23521474.0,47916426.0,4068010.0,3783870.0,1613155.0,14596594.0,1341470.0,4729304.0,25491203.0,4823835.0,28890123.0,2811103.0,3083631.0,14612817.0,7447637.0,10464211.0,5522580.0,6808483.0,11115082.0,85233087.0,85233087.0,90755667.0
226152,2011,Texas A & M International University,0.9715334080372641,0.9836289222373811,5019.0,33847808.0,1231348.0,26705727.0,47292707.0,2409482.0,4823571.0,2639818.0,17696556.0,1642577.0,6619084.0,32616460.0,6117936.0,29257373.0,3461887.0,2494836.0,12039011.0,10090920.0,9028578.0,4881318.0,6917603.0,13503648.0,86793856.0,86793856.0,91953175.0
226152,2012,Texas A & M International University,1.0,1.0,5187.0,35627047.0,5331097.0,26101423.0,41235636.0,2234444.0,4574731.0,1434011.0,16553007.0,582134.0,6069636.0,30295950.0,6309203.0,23397515.0,2408761.0,2046994.0,9619721.0,6535545.0,6828056.0,3180806.0,6375613.0,11439072.0,68651277.0,68651277.0,99750118.0
